Table 4-100:  Emissions of HFCs and PFCs from ODS Substitution (Metric Tons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
HFC-23,0,0,0,0,0,+,+,+,+,+,+,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
HFC-32,0,0,0,0,0,0,0,1,2,5,22,55,106,176,268,397,644,923,1215,1562,2166,2779,3442,4191,5002,5843,6801,7842,8948,10094
HFC-125,+,+,+,34,91,192,326,502,655,856,1021,1237,1495,1777,2064,2580,3241,4098,5017,6046,7217,8342,9367,10412,11436,12401,13413,14327,15362,16720
HFC-134a,+,+,840,3630,9377,20206,27356,34323,38826,43625,47988,51746,53410,54602,55618,56052,57485,58847,60446,62292,62337,59365,56362,53229,52089,51213,48126,44797,42694,41814
HFC-143a,+,+,+,16,45,113,209,345,499,710,872,1074,1299,1529,1739,2093,2480,2919,3418,3990,4522,4992,5396,5745,6008,6178,6320,6264,6188,6230
HFC-236fa,0,0,0,7,22,36,45,55,65,74,83,91,99,106,112,118,123,127,130,133,136,139,142,147,145,134,129,124,118,112
CF4,0,0,0,0,+,+,+,+,+,+,1,1,1,2,2,2,2,3,3,3,4,4,4,5,5,6,6,6,7,7
Others (a),M ,M ,M ,M ,M,M ,M ,M ,M,M,M ,M ,M ,M,M,M ,M ,M ,M ,M,M ,M ,M ,M,M,M ,M ,M ,M,M
+ Does not exceed 0.5 MT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M (Mixture of Gases).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(a) Others represent an unspecified mix of HFCs and PFCs, which includes HFC-152a, HFC-227ea, HFC-245fa, HFC-365mfc, HFC-43-10mee, HCFO-1233zd(E), HFO-1234yf, HFO-1234ze(E), HFO-1336mzz(Z), C4F10, and PFC/PFPEs, the latter being a proxy for a diverse collection of PFCs and perfluoropolyethers (PFPEs) employed for solvent applications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
