Table 7-6:  Materials Discarded in the Municipal Waste Stream by Waste Type from 1990 to 2018 (Percent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Waste Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Paper and Paperboard,30.00%,,,,,,,,,,,,,,,24.70%,,,,,,,,,,13.30%,12.70%,13.10%,11.80%
,Glass,6.00%,,,,,,,,,,,,,,,5.80%,,,,,,,,,,5.00%,4.90%,4.90%,5.20%
,Metals,7.20%,,,,,,,,,,,,,,,7.90%,,,,,,,,,,9.50%,9.80%,9.90%,9.50%
,Plastics,9.50%,,,,,,,,,,,,,,,16.40%,,,,,,,,,,18.90%,18.90%,19.20%,18.50%
,Rubber and Leather,3.20%,,,,,,,,,,,,,,,2.90%,,,,,,,,,,3.30%,3.40%,3.50%,3.40%
,Textiles,2.90%,,,,,,,,,,,,,,,5.30%,,,,,,,,,,7.70%,8.00%,8.00%,7.70%
,Wood,6.90%,,,,,,,,,,,,,,,7.50%,,,,,,,,,,8.00%,8.80%,8.70%,8.30%
,Other ,1.40%,,,,,,,,,,,,,,,1.80%,,,,,,,,,,2.20%,2.20%,2.20%,2.00%
,Food Scraps,13.60%,,,,,,,,,,,,,,,18.50%,,,,,,,,,,22.00%,22.10%,22.00%,24.10%
,Yard Trimmings,17.60%,,,,,,,,,,,,,,,7.00%,,,,,,,,,,7.80%,6.90%,6.20%,7.20%
,Miscellaneous Inorganic Wastes,1.70%,,,,,,,,,,,,,,,2.20%,,,,,,,,,,2.30%,2.30%,2.30%,2.30%
